gebeurtenisdatum,gebeurtenisjaar,stationid,duur_uur,neerslaghoeveelheid_mmuur,terugkeertijd_jaar,stationnaam
1972-07-19 19:00:00,1972,210,1,21.6,2,Valkenburg
1972-07-20 21:00:00,1972,210,1,22.8,2,Valkenburg
1982-06-22 20:00:00,1982,210,1,21.9,2,Valkenburg
1986-05-20 21:00:00,1986,210,1,25.0,2,Valkenburg
1988-08-10 22:00:00,1988,210,1,22.7,2,Valkenburg
1988-08-25 01:00:00,1988,210,1,25.4,2,Valkenburg
1992-06-01 16:00:00,1992,210,1,21.8,2,Valkenburg
1992-08-22 18:00:00,1992,210,1,22.4,2,Valkenburg
1995-07-09 03:00:00,1995,210,1,20.8,2,Valkenburg
2007-06-14 16:00:00,2007,210,1,20.6,2,Valkenburg
2010-08-26 08:00:00,2010,210,1,23.5,2,Valkenburg
1982-06-22 20:00:00,1982,210,2,34.6,2,Valkenburg
1986-05-20 22:00:00,1986,210,2,34.9,2,Valkenburg
1988-08-10 23:00:00,1988,210,2,28.1,2,Valkenburg
1988-08-25 02:00:00,1988,210,2,33.5,2,Valkenburg
1991-07-08 02:00:00,1991,210,2,24.4,2,Valkenburg
1995-07-09 04:00:00,1995,210,2,29.5,2,Valkenburg
2004-07-02 07:00:00,2004,210,2,26.7,2,Valkenburg
2004-08-21 03:00:00,2004,210,2,24.4,2,Valkenburg
2006-08-14 10:00:00,2006,210,2,24.9,2,Valkenburg
2008-08-07 14:00:00,2008,210,2,25.0,2,Valkenburg
2010-08-26 08:00:00,2010,210,2,34.2,2,Valkenburg
1981-10-04 11:00:00,1981,210,4,29.1,2,Valkenburg
1982-06-22 21:00:00,1982,210,4,35.8,2,Valkenburg
1986-05-20 22:00:00,1986,210,4,34.9,2,Valkenburg
1988-08-11 01:00:00,1988,210,4,28.8,2,Valkenburg
1988-08-25 03:00:00,1988,210,4,36.5,2,Valkenburg
1991-07-08 03:00:00,1991,210,4,39.1,2,Valkenburg
1995-07-09 04:00:00,1995,210,4,29.5,2,Valkenburg
2006-08-14 10:00:00,2006,210,4,37.7,2,Valkenburg
2007-06-14 19:00:00,2007,210,4,29.7,2,Valkenburg
2010-08-26 09:00:00,2010,210,4,42.6,2,Valkenburg
1981-10-04 12:00:00,1981,210,8,34.1,2,Valkenburg
1982-06-22 21:00:00,1982,210,8,47.5,2,Valkenburg
1986-05-21 03:00:00,1986,210,8,35.1,2,Valkenburg
1988-08-25 07:00:00,1988,210,8,37.1,2,Valkenburg
1991-07-08 04:00:00,1991,210,8,44.0,2,Valkenburg
2001-09-19 16:00:00,2001,210,8,42.3,2,Valkenburg
2002-08-24 18:00:00,2002,210,8,37.0,2,Valkenburg
2004-08-20 11:00:00,2004,210,8,41.9,2,Valkenburg
2006-08-14 12:00:00,2006,210,8,42.4,2,Valkenburg
2007-06-14 21:00:00,2007,210,8,36.8,2,Valkenburg
2008-08-07 14:00:00,2008,210,8,39.9,2,Valkenburg
2009-05-26 03:00:00,2009,210,8,35.0,2,Valkenburg
2010-08-26 13:00:00,2010,210,8,52.6,2,Valkenburg
2011-07-14 16:00:00,2011,210,8,39.0,2,Valkenburg
2014-07-28 12:00:00,2014,210,8,35.9,2,Valkenburg
1982-06-22 21:00:00,1982,210,12,48.1,2,Valkenburg
1982-10-10 09:00:00,1982,210,12,37.7,2,Valkenburg
1983-11-27 12:00:00,1983,210,12,42.3,2,Valkenburg
1987-11-19 19:00:00,1987,210,12,36.9,2,Valkenburg
1988-08-25 10:00:00,1988,210,12,37.2,2,Valkenburg
1991-07-08 05:00:00,1991,210,12,44.0,2,Valkenburg
2001-09-19 18:00:00,2001,210,12,50.6,2,Valkenburg
2002-08-20 18:00:00,2002,210,12,37.2,2,Valkenburg
2002-08-24 18:00:00,2002,210,12,43.6,2,Valkenburg
2004-08-20 16:00:00,2004,210,12,43.3,2,Valkenburg
2005-07-04 14:00:00,2005,210,12,36.7,2,Valkenburg
2006-08-14 17:00:00,2006,210,12,43.1,2,Valkenburg
2007-06-15 01:00:00,2007,210,12,36.8,2,Valkenburg
2008-08-07 14:00:00,2008,210,12,39.9,2,Valkenburg
2009-05-26 05:00:00,2009,210,12,39.5,2,Valkenburg
2010-08-26 13:00:00,2010,210,12,56.8,2,Valkenburg
2011-07-14 20:00:00,2011,210,12,51.2,2,Valkenburg
1982-06-22 21:00:00,1982,210,24,51.4,2,Valkenburg
1983-11-27 15:00:00,1983,210,24,51.4,2,Valkenburg
